arg1:String,arg2:String,confidence:String,context:String,context_rel:String,negated:String,passive:String,path:String,rel:String,sentence:String,tag:String,~from,~id,~to,~label
thyroid peroxidase,a major player,0.9566559760535204,"==== FrontJ Autoimmune DisJournal of Autoimmune Diseases1740-2557BioMed Central London 1740-2557-2-21576929310.1186/1740-2557-2-2ReviewLocalization of the immunodominant region on human thyroid peroxidase in autoimmune thyroid diseases: an update Bresson Damien 12damienbresson@yahoo.frRebuffat Sandra A 1sandra.rebuffat@ibph.pharma.univ-montp1.frPéraldi-Roux Sylvie 1sylvie.roux@ibph.pharma.univ-montp1.fr1 CNRS UMR 5160, Centre de Pharmacologie et Biotechnologie pour la Santé, Faculté de Pharmacie, 15 avenue Charles Flahault, BP 14491, 34093 Montpellier Cedex 5, France2 La Jolla Institute for Allergy and Immunology, Department of Developmental Immunology-3, 10355 Science Center Drive, San Diego, CA 92121, USA2005 15 3 2005 2 2 2 14 1 2005 15 3 2005 Copyright © 2005 Bresson et al; licensee BioMed Central Ltd.2005Bresson et al; licensee BioMed Central Ltd.This is an Open Access article distributed under the terms of the Creative Commons Attribution License (), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.Recent studies in the field of autoimmune thyroid diseases have largely focused on the delineation of B-cell auto-epitopes recognized by the main autoantigens to improve our understanding of how these molecules are seen by the immune system. Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,0.0,1.0,PMC1084359,is,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player.",,LIT=thyroid peroxidase,2UGIQ31EQ6PLFK7E8K9Q==LIT=thyroid peroxidase_TO_LIT=player,LIT=player,Scientific Literature
thyroid peroxidase,Among these autoantigens,0.9566559760535204,"==== FrontJ Autoimmune DisJournal of Autoimmune Diseases1740-2557BioMed Central London 1740-2557-2-21576929310.1186/1740-2557-2-2ReviewLocalization of the immunodominant region on human thyroid peroxidase in autoimmune thyroid diseases: an update Bresson Damien 12damienbresson@yahoo.frRebuffat Sandra A 1sandra.rebuffat@ibph.pharma.univ-montp1.frPéraldi-Roux Sylvie 1sylvie.roux@ibph.pharma.univ-montp1.fr1 CNRS UMR 5160, Centre de Pharmacologie et Biotechnologie pour la Santé, Faculté de Pharmacie, 15 avenue Charles Flahault, BP 14491, 34093 Montpellier Cedex 5, France2 La Jolla Institute for Allergy and Immunology, Department of Developmental Immunology-3, 10355 Science Center Drive, San Diego, CA 92121, USA2005 15 3 2005 2 2 2 14 1 2005 15 3 2005 Copyright © 2005 Bresson et al; licensee BioMed Central Ltd.2005Bresson et al; licensee BioMed Central Ltd.This is an Open Access article distributed under the terms of the Creative Commons Attribution License (), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.Recent studies in the field of autoimmune thyroid diseases have largely focused on the delineation of B-cell auto-epitopes recognized by the main autoantigens to improve our understanding of how these molecules are seen by the immune system. Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,0.0,1.0,PMC1084359,is,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player.",,LIT=thyroid peroxidase,G67IY7GQ2WKQDQVLH4BQ==LIT=thyroid peroxidase_TO_LIT=autoantigens,LIT=autoantigens,Scientific Literature
these autoantigens,by autoantibodies,0.8872966301155124,"==== FrontJ Autoimmune DisJournal of Autoimmune Diseases1740-2557BioMed Central London 1740-2557-2-21576929310.1186/1740-2557-2-2ReviewLocalization of the immunodominant region on human thyroid peroxidase in autoimmune thyroid diseases: an update Bresson Damien 12damienbresson@yahoo.frRebuffat Sandra A 1sandra.rebuffat@ibph.pharma.univ-montp1.frPéraldi-Roux Sylvie 1sylvie.roux@ibph.pharma.univ-montp1.fr1 CNRS UMR 5160, Centre de Pharmacologie et Biotechnologie pour la Santé, Faculté de Pharmacie, 15 avenue Charles Flahault, BP 14491, 34093 Montpellier Cedex 5, France2 La Jolla Institute for Allergy and Immunology, Department of Developmental Immunology-3, 10355 Science Center Drive, San Diego, CA 92121, USA2005 15 3 2005 2 2 2 14 1 2005 15 3 2005 Copyright © 2005 Bresson et al; licensee BioMed Central Ltd.2005Bresson et al; licensee BioMed Central Ltd.This is an Open Access article distributed under the terms of the Creative Commons Attribution License (), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.Recent studies in the field of autoimmune thyroid diseases have largely focused on the delineation of B-cell auto-epitopes recognized by the main autoantigens to improve our understanding of how these molecules are seen by the immune system. Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,0.0,1.0,PMC1084359,are targeted,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player.",,LIT=autoantigens,DVHE4UVY0QLF5FB8RTFW==LIT=autoantigens_TO_LIT=autoantibodies,LIT=autoantibodies,Scientific Literature
these autoantigens,during the development of autoimmune thyroid diseases,0.8872966301155124,"==== FrontJ Autoimmune DisJournal of Autoimmune Diseases1740-2557BioMed Central London 1740-2557-2-21576929310.1186/1740-2557-2-2ReviewLocalization of the immunodominant region on human thyroid peroxidase in autoimmune thyroid diseases: an update Bresson Damien 12damienbresson@yahoo.frRebuffat Sandra A 1sandra.rebuffat@ibph.pharma.univ-montp1.frPéraldi-Roux Sylvie 1sylvie.roux@ibph.pharma.univ-montp1.fr1 CNRS UMR 5160, Centre de Pharmacologie et Biotechnologie pour la Santé, Faculté de Pharmacie, 15 avenue Charles Flahault, BP 14491, 34093 Montpellier Cedex 5, France2 La Jolla Institute for Allergy and Immunology, Department of Developmental Immunology-3, 10355 Science Center Drive, San Diego, CA 92121, USA2005 15 3 2005 2 2 2 14 1 2005 15 3 2005 Copyright © 2005 Bresson et al; licensee BioMed Central Ltd.2005Bresson et al; licensee BioMed Central Ltd.This is an Open Access article distributed under the terms of the Creative Commons Attribution License (), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.Recent studies in the field of autoimmune thyroid diseases have largely focused on the delineation of B-cell auto-epitopes recognized by the main autoantigens to improve our understanding of how these molecules are seen by the immune system. Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,0.0,1.0,PMC1084359,are targeted,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player.",,LIT=autoantigens,EGB3T1U6UIR3QQ6TI8OI==LIT=autoantigens_TO_LIT=autoimmune thyroid diseases,LIT=autoimmune thyroid diseases,Scientific Literature
patients,from respectively hypothyroidism,0.8942434158739456,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,0.0,PMC1084359,suffering,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=patients,39TBP2IAPCJUG0HGOHMI==LIT=patients_TO_LIT=hypothyroidism,LIT=hypothyroidism,Scientific Literature
patients,from respectively hyper,0.8942434158739456,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,0.0,PMC1084359,suffering,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=patients,JMYEW3RHGWCPK8U9SLC0==LIT=patients_TO_LIT=hyper,LIT=hyper,Scientific Literature
patients,from Hashimoto 's thyroiditis hypothyroidism,0.9105129651916236,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,0.0,PMC1084359,suffering,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=patients,QMR5GHY3204ZY33KT218==LIT=patients_TO_LIT=hypothyroidism,LIT=hypothyroidism,Scientific Literature
patients,from Hashimoto 's thyroiditis hyper,0.9105129651916236,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,0.0,PMC1084359,suffering,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=patients,PRED1SHKOGWEHDJ747HI==LIT=patients_TO_LIT=hyper,LIT=hyper,Scientific Literature
patients,from Graves ' disease hypothyroidism,0.9105129651916236,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,0.0,PMC1084359,suffering,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=patients,25IOTZLORJ3Z30GOMOE4==LIT=patients_TO_LIT=hypothyroidism,LIT=hypothyroidism,Scientific Literature
patients,from Graves ' disease hyper,0.9105129651916236,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,0.0,PMC1084359,suffering,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=patients,5R2RDUI60KLUII7Z9QAZ==LIT=patients_TO_LIT=hyper,LIT=hyper,Scientific Literature
